chapter,family,defect,dose,delta,se,n_items,acc,score_file
1,omission,omission,0.0,0.31334717598501255,0.4015750584172255,44,0.8181818181818182,evaluation/outputs/luke1/1.7b/omission/0%/scores_target_llama.json
1,omission,omission,0.05,0.6112581549193654,0.3720487314187075,44,0.7727272727272727,evaluation/outputs/luke1/1.7b/omission/5%/scores_target_llama.json
1,omission,omission,0.1,0.8723404635138627,0.3516628097213153,44,0.7272727272727273,evaluation/outputs/luke1/1.7b/omission/10%/scores_target_llama.json
1,omission,omission,0.15,0.9931989112666817,0.3438401993199514,44,0.7045454545454546,evaluation/outputs/luke1/1.7b/omission/15%/scores_target_llama.json
1,omission,omission,0.2,0.8723404635138625,0.35166280972131536,44,0.7272727272727273,evaluation/outputs/luke1/1.7b/omission/20%/scores_target_llama.json
1,omission,omission,0.3,0.9931989112666816,0.3438401993199514,44,0.7045454545454546,evaluation/outputs/luke1/1.7b/omission/30%/scores_target_llama.json
1,mistranslation,mistranslation,0.0,-0.5086059942015284,0.5240700328829658,44,0.9090909090909091,evaluation/outputs/luke1/1.7b/mistranslation/0%/scores_target_llama.json
1,mistranslation,mistranslation,0.05,-0.5086059942015284,0.5240700328829658,44,0.9090909090909091,evaluation/outputs/luke1/1.7b/mistranslation/5%/scores_target_llama.json
1,mistranslation,mistranslation,0.1,0.14422258827761822,0.42157196115881707,44,0.8409090909090909,evaluation/outputs/luke1/1.7b/mistranslation/10%/scores_target_llama.json
1,mistranslation,mistranslation,0.15,-0.04390063678844354,0.44679920723865807,44,0.8636363636363636,evaluation/outputs/luke1/1.7b/mistranslation/15%/scores_target_llama.json
1,mistranslation,mistranslation,0.2,0.31334717598501255,0.4015750584172255,44,0.8181818181818182,evaluation/outputs/luke1/1.7b/mistranslation/20%/scores_target_llama.json
1,mistranslation,mistranslation,0.3,1.2209405509456754,0.33172402320873445,44,0.6590909090909091,evaluation/outputs/luke1/1.7b/mistranslation/30%/scores_target_llama.json
1,grammar,grammar,0.0,0.4679783700012719,0.3853771456300076,44,0.7954545454545454,evaluation/outputs/luke1/1.7b/grammar/0%/scores_target_llama.json
1,grammar,grammar,0.05,0.6112581549193654,0.3720487314187075,44,0.7727272727272727,evaluation/outputs/luke1/1.7b/grammar/5%/scores_target_llama.json
1,grammar,grammar,0.1,0.31334717598501255,0.4015750584172255,44,0.8181818181818182,evaluation/outputs/luke1/1.7b/grammar/10%/scores_target_llama.json
1,grammar,grammar,0.15,0.3133471759850126,0.4015750584172255,44,0.8181818181818182,evaluation/outputs/luke1/1.7b/grammar/15%/scores_target_llama.json
1,grammar,grammar,0.2,0.46797837000127196,0.3853771456300076,44,0.7954545454545454,evaluation/outputs/luke1/1.7b/grammar/20%/scores_target_llama.json
1,grammar,grammar,0.3,0.8723404635138625,0.35166280972131536,44,0.7272727272727273,evaluation/outputs/luke1/1.7b/grammar/30%/scores_target_llama.json
1,awkward,awkward,0.0,0.31334717598501255,0.4015750584172255,44,0.8181818181818182,evaluation/outputs/luke1/1.7b/awkward/0%/scores_target_llama.json
1,awkward,awkward,0.05,0.14422258827761822,0.42157196115881707,44,0.8409090909090909,evaluation/outputs/luke1/1.7b/awkward/5%/scores_target_llama.json
1,awkward,awkward,0.1,0.6112581549193654,0.3720487314187075,44,0.7727272727272727,evaluation/outputs/luke1/1.7b/awkward/10%/scores_target_llama.json
1,awkward,awkward,0.15,0.7454718625436737,0.36095861447214395,44,0.75,evaluation/outputs/luke1/1.7b/awkward/15%/scores_target_llama.json
1,awkward,awkward,0.2,-0.04390063678844374,0.44679920723865807,44,0.8636363636363636,evaluation/outputs/luke1/1.7b/awkward/20%/scores_target_llama.json
1,awkward,awkward,0.3,0.1442225882776183,0.42157196115881707,44,0.8409090909090909,evaluation/outputs/luke1/1.7b/awkward/30%/scores_target_llama.json
1,addition:adversarial,addition,0.0,0.3133471759850125,0.4015750584172255,44,0.8181818181818182,evaluation/outputs/luke1/1.7b/addition/0%/scores_target_llama.json
1,addition:adversarial,addition,0.05,0.14422258827761825,0.42157196115881707,44,0.8409090909090909,evaluation/outputs/luke1/1.7b/addition/adversarial_5%/scores_target_llama.json
1,addition:adversarial,addition,0.1,0.14422258827761836,0.42157196115881707,44,0.8409090909090909,evaluation/outputs/luke1/1.7b/addition/adversarial_10%/scores_target_llama.json
1,addition:adversarial,addition,0.15,-0.2578327389427208,0.4795924786539673,44,0.8863636363636364,evaluation/outputs/luke1/1.7b/addition/adversarial_15%/scores_target_llama.json
1,addition:adversarial,addition,0.2,0.4679783700012719,0.3853771456300076,44,0.7954545454545454,evaluation/outputs/luke1/1.7b/addition/adversarial_20%/scores_target_llama.json
1,addition:adversarial,addition,0.3,-0.043900636788443526,0.44679920723865807,44,0.8636363636363636,evaluation/outputs/luke1/1.7b/addition/adversarial_30%/scores_target_llama.json
1,addition:bad,addition,0.0,0.3133471759850125,0.4015750584172255,44,0.8181818181818182,evaluation/outputs/luke1/1.7b/addition/0%/scores_target_llama.json
1,addition:bad,addition,0.05,-0.043900636788443526,0.44679920723865807,44,0.8636363636363636,evaluation/outputs/luke1/1.7b/addition/bad_5%/scores_target_llama.json
1,addition:bad,addition,0.1,0.3133471759850125,0.4015750584172255,44,0.8181818181818182,evaluation/outputs/luke1/1.7b/addition/bad_10%/scores_target_llama.json
1,addition:bad,addition,0.15,0.3133471759850125,0.4015750584172255,44,0.8181818181818182,evaluation/outputs/luke1/1.7b/addition/bad_15%/scores_target_llama.json
1,addition:bad,addition,0.2,0.6112581549193654,0.3720487314187075,44,0.7727272727272727,evaluation/outputs/luke1/1.7b/addition/bad_20%/scores_target_llama.json
