chapter,family,defect,dose,delta,se,n_items,acc,score_file
1,omission,omission,0.0,0.16820422460739728,0.5124111145310731,22,0.7727272727272727,evaluation/outputs/luke1/1.7b/omission/0%/scores_target_llama.json
1,omission,omission,0.05,0.640320635082976,0.4643038999425594,22,0.6818181818181818,evaluation/outputs/luke1/1.7b/omission/5%/scores_target_llama.json
1,omission,omission,0.1,0.8489876999267986,0.4501027449042276,22,0.6363636363636364,evaluation/outputs/luke1/1.7b/omission/10%/scores_target_llama.json
1,omission,omission,0.15,0.8489876999267986,0.4501027449042276,22,0.6363636363636364,evaluation/outputs/luke1/1.7b/omission/15%/scores_target_llama.json
1,omission,omission,0.2,0.8489876999267986,0.4501027449042276,22,0.6363636363636364,evaluation/outputs/luke1/1.7b/omission/20%/scores_target_llama.json
1,omission,omission,0.3,1.2380883673350482,0.43452803259012845,22,0.5454545454545454,evaluation/outputs/luke1/1.7b/omission/30%/scores_target_llama.json
1,mistranslation,mistranslation,0.0,-0.4516172781187864,0.6131144190105976,22,0.8636363636363636,evaluation/outputs/luke1/1.7b/mistranslation/0%/scores_target_llama.json
1,mistranslation,mistranslation,0.05,-0.4516172781187864,0.6131144190105976,22,0.8636363636363636,evaluation/outputs/luke1/1.7b/mistranslation/5%/scores_target_llama.json
1,mistranslation,mistranslation,0.1,0.41584234032943895,0.484327543267969,22,0.7272727272727273,evaluation/outputs/luke1/1.7b/mistranslation/10%/scores_target_llama.json
1,mistranslation,mistranslation,0.15,-0.1141649582010039,0.5526238325638592,22,0.8181818181818182,evaluation/outputs/luke1/1.7b/mistranslation/15%/scores_target_llama.json
1,mistranslation,mistranslation,0.2,0.16820422460739734,0.5124111145310731,22,0.7727272727272727,evaluation/outputs/luke1/1.7b/mistranslation/20%/scores_target_llama.json
1,mistranslation,mistranslation,0.3,1.425571181238341,0.43199941570549416,22,0.5,evaluation/outputs/luke1/1.7b/mistranslation/30%/scores_target_llama.json
1,grammar,grammar,0.0,0.41584234032943895,0.484327543267969,22,0.7272727272727273,evaluation/outputs/luke1/1.7b/grammar/0%/scores_target_llama.json
1,grammar,grammar,0.05,0.640320635082976,0.4643038999425594,22,0.6818181818181818,evaluation/outputs/luke1/1.7b/grammar/5%/scores_target_llama.json
1,grammar,grammar,0.1,-0.11416495820100386,0.5526238325638592,22,0.8181818181818182,evaluation/outputs/luke1/1.7b/grammar/10%/scores_target_llama.json
1,grammar,grammar,0.15,-0.1141649582010038,0.5526238325638592,22,0.8181818181818182,evaluation/outputs/luke1/1.7b/grammar/15%/scores_target_llama.json
1,grammar,grammar,0.2,0.16820422460739728,0.5124111145310731,22,0.7727272727272727,evaluation/outputs/luke1/1.7b/grammar/20%/scores_target_llama.json
1,grammar,grammar,0.3,0.8489876999267987,0.4501027449042276,22,0.6363636363636364,evaluation/outputs/luke1/1.7b/grammar/30%/scores_target_llama.json
1,awkward,awkward,0.0,0.16820422460739728,0.5124111145310731,22,0.7727272727272727,evaluation/outputs/luke1/1.7b/awkward/0%/scores_target_llama.json
1,awkward,awkward,0.05,0.1682042246073973,0.5124111145310731,22,0.7727272727272727,evaluation/outputs/luke1/1.7b/awkward/5%/scores_target_llama.json
1,awkward,awkward,0.1,0.16820422460739734,0.5124111145310731,22,0.7727272727272727,evaluation/outputs/luke1/1.7b/awkward/10%/scores_target_llama.json
1,awkward,awkward,0.15,0.41584234032943895,0.484327543267969,22,0.7272727272727273,evaluation/outputs/luke1/1.7b/awkward/15%/scores_target_llama.json
1,awkward,awkward,0.2,-0.4516172781187864,0.6131144190105976,22,0.8636363636363636,evaluation/outputs/luke1/1.7b/awkward/20%/scores_target_llama.json
1,awkward,awkward,0.3,-0.1141649582010039,0.5526238325638592,22,0.8181818181818182,evaluation/outputs/luke1/1.7b/awkward/30%/scores_target_llama.json
1,addition:adversarial,addition,0.0,0.41584234032943895,0.484327543267969,22,0.7272727272727273,evaluation/outputs/luke1/1.7b/addition/0%/scores_target_llama.json
1,addition:adversarial,addition,0.05,0.16820422460739734,0.5124111145310731,22,0.7727272727272727,evaluation/outputs/luke1/1.7b/addition/adversarial_5%/scores_target_llama.json
1,addition:adversarial,addition,0.1,0.16820422460739742,0.5124111145310731,22,0.7727272727272727,evaluation/outputs/luke1/1.7b/addition/adversarial_10%/scores_target_llama.json
1,addition:adversarial,addition,0.15,-0.4516172781187864,0.6131144190105976,22,0.8636363636363636,evaluation/outputs/luke1/1.7b/addition/adversarial_15%/scores_target_llama.json
