experiment,variant,status,chapters_scored,chapter_count,missing_count,actual_rate_mean,combined_score,mcq_accuracy,open_llm_score_mean,answer_confidence_mean,insufficient_information_rate,evidence_supported_rate,generation_errors,total_items
addition,0%,complete,"1,2,3,4,5,6,7,8",8,0,,0.59375,0.6979166666666666,0.4895833333333333,0.879545454545454,0.045454545454545456,0.9772727272727273,0,192
addition,neutral_5%,complete,"1,2,3,4,5,6,7,8",8,0,0.054099274958170664,0.6119791666666666,0.7291666666666666,0.4947916666666667,0.8659090909090903,0.06818181818181818,0.9545454545454546,0,192
addition,bad_5%,complete,"1,2,3,4,5,6,7,8",8,0,0.05242610150585611,0.609375,0.6979166666666666,0.5208333333333334,0.8818181818181813,0.045454545454545456,0.9772727272727273,0,192
addition,adversarial_5%,complete,"1,2,3,4,5,6,7,8",8,0,0.05242610150585611,0.5963541666666666,0.6770833333333334,0.515625,0.8795454545454539,0.045454545454545456,0.9772727272727273,0,192
addition,neutral_10%,complete,"1,2,3,4,5,6,7,8",8,0,0.1003904071388734,0.625,0.71875,0.53125,0.8863636363636357,0.045454545454545456,0.9772727272727273,0,192
addition,bad_10%,complete,"1,2,3,4,5,6,7,8",8,0,0.10094813162297825,0.5651041666666666,0.6666666666666666,0.4635416666666667,0.8818181818181813,0.022727272727272728,0.9772727272727273,0,192
addition,adversarial_10%,complete,"1,2,3,4,5,6,7,8",8,0,0.10708310094813163,0.5677083333333334,0.6458333333333334,0.4895833333333333,0.8999999999999992,0.022727272727272728,1.0,0,192
addition,neutral_15%,complete,"1,2,3,4,5,6,7,8",8,0,0.15448968209704406,0.609375,0.75,0.46875,0.8409090909090903,0.06818181818181818,0.9545454545454546,0,192
addition,bad_15%,complete,"1,2,3,4,5,6,7,8",8,0,0.15783602900167318,0.5963541666666666,0.71875,0.4739583333333333,0.8749999999999993,0.022727272727272728,0.9772727272727273,0,192
addition,adversarial_15%,complete,"1,2,3,4,5,6,7,8",8,0,0.15114333519241493,0.5807291666666666,0.65625,0.5052083333333334,0.897727272727272,0.022727272727272728,1.0,0,192
