experiment,variant,status,chapters_scored,chapter_count,missing_count,actual_rate_mean,combined_score,mcq_accuracy,open_llm_score_mean,answer_confidence_mean,insufficient_information_rate,evidence_supported_rate,generation_errors,total_items
addition,0%,complete,"1,2,3,4,5,6,7,8",8,0,,0.7578125,0.7604166666666666,0.7552083333333334,,,,0,192
addition,neutral_5%,complete,"1,2,3,4,5,6,7,8",8,0,,0.7604166666666666,0.7708333333333334,0.75,,,,0,192
addition,bad_5%,complete,"1,2,3,4,5,6,7,8",8,0,,0.7578125,0.78125,0.734375,,,,0,192
addition,adversarial_5%,complete,"1,2,3,4,5,6,7,8",8,0,,0.7395833333333334,0.7708333333333334,0.7083333333333334,,,,0,192
addition,neutral_10%,complete,"1,2,3,4,5,6,7,8",8,0,,0.75,0.78125,0.71875,,,,0,192
addition,bad_10%,complete,"1,2,3,4,5,6,7,8",8,0,,0.7473958333333334,0.7916666666666666,0.703125,,,,0,192
addition,adversarial_10%,complete,"1,2,3,4,5,6,7,8",8,0,,0.7083333333333334,0.7604166666666666,0.65625,,,,0,192
addition,neutral_15%,complete,"1,2,3,4,5,6,7,8",8,0,,0.7708333333333334,0.7916666666666666,0.75,,,,0,192
addition,bad_15%,complete,"1,2,3,4,5,6,7,8",8,0,,0.7291666666666666,0.78125,0.6770833333333334,,,,0,192
addition,adversarial_15%,complete,"1,2,3,4,5,6,7,8",8,0,,0.7109375,0.7708333333333334,0.6510416666666666,,,,0,192
addition,neutral_20%,complete,"1,2,3,4,5,6,7,8",8,0,,0.7552083333333334,0.7916666666666666,0.71875,,,,0,192
addition,bad_20%,complete,"1,2,3,4,5,6,7,8",8,0,,0.734375,0.7916666666666666,0.6770833333333334,,,,0,192
addition,adversarial_20%,complete,"1,2,3,4,5,6,7,8",8,0,,0.6875,0.75,0.625,,,,0,192
addition,neutral_30%,complete,"1,2,3,4,5,6,7,8",8,0,,0.7552083333333334,0.8125,0.6979166666666666,,,,0,192
addition,bad_30%,complete,"1,2,3,4,5,6,7,8",8,0,,0.7213541666666666,0.7916666666666666,0.6510416666666666,,,,0,192
addition,adversarial_30%,complete,"1,2,3,4,5,6,7,8",8,0,,0.6744791666666666,0.7395833333333334,0.609375,,,,0,192
omission,0%,complete,"1,2,3,4,5,6,7,8",8,0,,0.7447916666666666,0.7604166666666666,0.7291666666666666,,,,0,192
omission,5%,complete,"1,2,3,4,5,6,7,8",8,0,,0.7447916666666666,0.8020833333333334,0.6875,,,,0,192
omission,10%,complete,"1,2,3,4,5,6,7,8",8,0,,0.7526041666666666,0.8229166666666666,0.6822916666666666,,,,0,192
omission,15%,complete,"1,2,3,4,5,6,7,8",8,0,,0.7005208333333334,0.78125,0.6197916666666666,,,,0,192
omission,20%,complete,"1,2,3,4,5,6,7,8",8,0,,0.7135416666666666,0.7916666666666666,0.6354166666666666,,,,0,192
omission,30%,complete,"1,2,3,4,5,6,7,8",8,0,,0.640625,0.7291666666666666,0.5520833333333334,,,,0,192
mistranslation,0%,complete,"1,2,3,4,5,6,7,8",8,0,,0.765625,0.7604166666666666,0.7708333333333334,,,,0,192
mistranslation,5%,complete,"1,2,3,4,5,6,7,8",8,0,,0.7369791666666666,0.7604166666666666,0.7135416666666666,,,,0,192
mistranslation,10%,complete,"1,2,3,4,5,6,7,8",8,0,,0.6822916666666666,0.7083333333333334,0.65625,,,,0,192
mistranslation,15%,complete,"1,2,3,4,5,6,7,8",8,0,,0.671875,0.7083333333333334,0.6354166666666666,,,,0,192
mistranslation,20%,complete,"1,2,3,4,5,6,7,8",8,0,,0.6510416666666666,0.7083333333333334,0.59375,,,,0,192
